#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
103,"16 CARRIAGES","Beyoncé",63,127,"undefined","COWBOY CARTER",2024-03-29,03:47,53,46,38,0,34,0,10,-7,,4,2025-08-22,6XXxKsu3RJeN3ZvbMYrgQW,,USSM12401304
104,"CHIHIRO","Billie Eilish",87,110,"undefined","HIT ME HARD AND SOFT",2024-05-17,05:03,70,43,14,88,52,0,0,-13,,4,2025-08-22,7BRD7x5pt8Lqa1eGYC4dzj,,USUM72401988
105,"we can't be friends (wait for your love)","Ariana Grande",79,116,"undefined","eternal sunshine",2024-03-08,03:48,65,65,6,0,30,0,0,-8,,4,2025-08-22,46kspZSY3aKmwQe7O77fCC,,USUM72317276
106,"Fortnight (feat. Post Malone)","Taylor Swift,Post Malone",83,192,"undefined","THE TORTURED POETS DEPARTMENT",2024-04-18,03:48,50,39,50,0,28,0,10,-11,,4,2025-08-22,2OzhQlSqBEmt7hmkYxfT6m,,USUG12401028
107,"Happy Mistake","Lady Gaga",54,83,"undefined","Harlequin",2024-09-27,04:05,42,29,19,0,16,0,10,-8,,4,2025-08-22,5DQIZ8XC0EP7cfRFrtzY5h,,USUG12405111
108,"Juna","Clairo",80,142,"undefined","Charm",2024-07-12,03:15,61,71,24,10,45,0,10,-6,,4,2025-08-22,2mWfVxEo4xZYDaz0v7hYrN,,USA2P2416229
109,"Floating On A Moment","Beth Gibbons",45,140,"undefined","Lives Outgrown",2024-05-17,05:26,48,42,60,4,16,0,0,-11,,4,2025-08-22,0WH39BFVGotzXe3torfzvK,,GBCEL2100652
110,"Jump","Tyla,Gunna,Skillibeng",47,100,"undefined","TYLA +",2024-10-11,02:27,79,72,3,0,63,0,20,-3,,4,2025-08-25,6LbhgEvVAbkNaKYDvmhUW2,,USSM12308661
111,"Image","Magdalena Bay",68,128,"undefined","Imaginal Disk",2024-08-23,03:32,61,86,0,17,85,0,10,-6,,3,2025-08-22,0QW0KPBXXv67haGjbtkRRB,,USQE92400097
112,"Igual Que Un Ángel (with Peso Pluma)","Kali Uchis,Peso Pluma",77,108,"undefined","ORQUÍDEAS",2024-01-12,04:20,70,59,0,0,48,0,10,-5,,4,2025-08-22,6XaJfhwof7qIgbbXO5tIQI,,USUM72315072
113,"Free Fall (feat. J. Cole)","Tems,J. Cole",64,92,"undefined","Born in the Wild",2024-06-06,03:12,74,53,47,4,80,0,10,-7,,4,2025-08-22,3cuUZnjDwk4cUJCFinYbAC,,USRC12401742
114,"HE KNOWS (feat. Lil Nas X)","Camila Cabello,Lil Nas X",58,125,"undefined","C,XOXO",2024-06-28,03:01,75,69,8,0,45,10,10,-7,,4,2025-08-22,5TdrCQVt3l1uEz3pFdTgXC,,USUG12402116
115,"Puntería","Shakira,Cardi B",64,120,"undefined","Las Mujeres Ya No Lloran",2024-03-22,03:01,86,73,2,0,81,0,10,-4,,4,2025-08-23,2dYXrWkNO40NXy2Q3IYLRc,,USQX92400523
116,"I Had Some Help (Feat. Morgan Wallen)","Post Malone,Morgan Wallen",84,128,"undefined","F-1 Trillion",2024-08-15,02:58,64,87,1,0,75,0,20,-5,,4,2025-08-22,5IZXB5IKAD2qlvTPJYDCFB,,USUM72404990
117,"No Angels","Justin Timberlake",51,112,"undefined","Everything I Thought It Was",2024-03-15,03:28,85,65,14,0,65,0,0,-6,,4,2025-08-22,3Llg6UrxeStZxQJNjEQrlM,,USRC12400002
118,"Deeper Well","Kacey Musgraves",67,110,"undefined","Deeper Well",2024-03-15,03:52,45,53,46,0,35,0,10,-8,,4,2025-08-22,333XFHKsHU0pOocFzBgrJi,,USUM72316291
119,"ARTIFICIAL (feat. JID)","Katy Perry,JID",52,129,"undefined","143",2024-09-20,02:43,72,51,1,0,14,0,30,-7,,4,2025-08-22,3UxPCKSa8fPIhP7KMSD0HW,,USUM72407749
120,"Houdini","Dua Lipa",81,117,"undefined","Radical Optimism",2024-05-03,03:05,74,79,0,0,87,0,0,-5,,4,2025-08-22,6D8y7Bck8h11byRY88Pt2z,,GBAHT2301246
121,"Can't Get Enough","Jennifer Lopez",29,100,"undefined","This Is Me...Now (Deluxe)",2024-02-16,03:06,77,75,0,0,64,0,0,-3,,4,2025-08-22,6SSZfUwJuFmPvLssmMhTMj,,QMRSZ2301148
122,"Little Wing","Sia",40,160,"undefined","Reasonable Woman",2024-05-03,03:18,51,69,0,0,14,0,10,-4,,4,2025-08-22,4ZK786lHXz8nZ8NwODGc6L,,USAT22400523
123,"Ruined","Adrianne Lenker",47,109,"undefined","Bright Future",2024-03-22,04:32,40,13,98,0,16,0,0,-12,,4,2025-08-22,3cGZNocKeVtXgjugVYuMyi,,GBAFL2300323
124,"Can't Tame Her","Zara Larsson",50,182,"undefined","VENUS",2024-02-09,03:16,57,91,1,0,55,10,10,-3,,4,2025-08-22,1G1kKHczSz6Xqv5dCmtkL4,,USSM12210918
125,"Stardust","ZAYN",59,120,"undefined","ROOM UNDER THE STAIRS",2024-05-17,03:52,63,66,39,0,65,0,10,-6,,4,2025-08-22,4266h07udCdZ83jswW10IG,,USUG12401420
126,"reincarnated","Kendrick Lamar",72,91,"undefined","GNX",2024-11-22,04:35,85,78,5,0,75,20,30,-5,,4,2025-08-22,0RgjEkSbeuStKfT2Pa4Zai,,USUG12408500
127,"Trae The Truth in Ibiza","J. Cole",63,158,"undefined","Might Delete Later",2024-04-05,04:15,49,59,12,0,53,10,30,-8,,3,2025-08-22,4E2fOeF5A6onC10OtnjXJa,,USUG12402412
128,"Like That","Future,Metro Boomin,Kendrick Lamar",82,162,"undefined","WE DON'T TRUST YOU",2024-03-22,04:27,81,68,1,0,31,20,10,-5,,4,2025-08-22,2tudvzsrR56uom6smgOcSf,,USSM12402041
129,"Show of Hands","Future,Metro Boomin,A$AP Rocky",58,137,"undefined","WE STILL DON'T TRUST YOU",2024-04-12,03:33,78,72,4,0,38,30,40,-4,,4,2025-08-22,0cGn4vxyoBftN61XUv2aQk,,USSM12403211
130,"LIL DEMON","Future",74,131,"undefined","MIXTAPE PLUTO",2024-09-20,02:19,86,75,0,0,30,0,0,-6,,4,2025-08-22,3aCPResPDNae3pXTocGpYe,,USSM12406727
131,"BURN","¥$,Kanye West,Ty Dolla $ign",72,105,"undefined","VULTURES 1",2024-02-09,01:51,60,88,2,0,72,30,80,-6,,4,2025-08-22,7BPadP3q9qwMkho3IMPU99,,QZ7XS2400009
132,"SLIDE","¥$,Kanye West,Ty Dolla $ign",57,108,"undefined","VULTURES 2",2024-08-03,03:17,75,80,3,0,44,0,10,-6,,4,2025-08-22,5MGMXOhVvwzCjFgdQsFokR,,TLVEM2467039
133,"COLE PIMP (with Ty Dolla $ign & Juicy J)","Denzel Curry,Ty Dolla $ign,Juicy J",52,156,"undefined","King Of The Mischievous South Vol. 2",2024-07-19,03:38,58,82,60,0,76,10,10,-6,,4,2025-08-22,4vdDAdLtmTqFR1J4AO4cBf,,USC4R2443043
134,"Like Him (feat. Lola Young)","Tyler, The Creator,Lola Young",86,96,"undefined","CHROMAKOPIA",2024-10-28,04:38,39,56,29,0,19,0,10,-7,,3,2025-08-22,6jbYpRPTEFl1HFKHk1IC0m,,USQX92405794
135,"either on or off the drugs","JPEGMAFIA",64,184,"undefined","I LAY DOWN MY LIFE FOR YOU",2024-08-01,02:20,51,61,15,0,63,10,70,-6,,3,2025-08-22,3EWaU5exMayFzQMkIfTX7w,,QM7282468581
136,"Étouffée","Vince Staples",55,135,"undefined","Dark Times",2024-05-24,04:28,55,71,15,7,47,40,20,-8,,5,2025-08-22,592A3x9nMXoL3Ay5rKgSwW,,USUM72404697
137,"THank god 4 me","ScHoolboy Q",58,136,"undefined","BLUE LIPS",2024-03-01,02:57,73,57,64,0,42,10,10,-8,,4,2025-08-22,7CwO2esrH095tjxmJVMY2E,,USUM72401064
138,"Cosmo Freestyle","Freddie Gibbs",49,77,"undefined","You Only Die 1nce",2024-10-31,03:04,73,83,21,0,65,20,10,-5,,4,2025-08-22,7rOMXlhgozetHpzmJciBjm,,QMDA62478842
139,"DENIAL IS A RIVER","Doechii",81,93,"undefined","Alligator Bites Never Heal",2024-08-30,02:39,83,64,9,0,62,30,0,-3,,4,2025-08-22,1eTaznNW4Xxtx9za2SMTXB,,USUG12405664
140,"3:AM (feat. Erykah Badu)","Rapsody,Erykah Badu",41,89,"undefined","Please Don't Cry",2024-05-17,03:33,53,59,65,0,64,30,10,-6,,4,2025-08-22,44BRidSOFkXcKH3oZzHKdR,,QMJMT2405253
141,"Still Praying","Westside Gunn,DJ Drama,Stove God Cooks,Benny The Butcher,Conway the Machine,Boldy James",37,127,"undefined","Still Praying",2024-11-01,06:57,50,56,9,0,5,0,10,-7,,4,2025-08-22,4iRh9CuSqd3aF2jSA1v6Xj,,QZS7J2415851
142,"redrum","21 Savage",79,172,"undefined","american dream",2024-01-12,04:30,63,73,1,0,24,0,30,-9,,4,2025-08-22,52eIcoLUM25zbQupAZYoFh,,USSM12309164
143,"Lithonia","Childish Gambino",59,140,"undefined","Lithonia",2024-07-02,02:59,42,38,9,0,17,0,10,-8,,4,2025-08-22,4JfpJrrGNXRj2yXm1fYV23,,USRC12402124
144,"Fuel","Eminem,JID",71,138,"undefined","The Death of Slim Shady (Coup De Grâce)",2024-07-12,03:33,89,66,12,0,12,10,10,-5,,4,2025-08-22,5In8B6Om5OKrhwBMB4tXSi,,USUG12403410
145,"Dreamin'","Common,Pete Rock",39,89,"undefined","The Auditorium Vol. 1",2024-07-12,04:00,64,87,7,0,60,20,40,-3,,4,2025-08-22,7qiCLJzwFyyyjckrYHVkOh,,USC4R2443030
146,"WalkOnBy (feat. Earl Sweatshirt & Rae Khalil)","NxWorries,Anderson .Paak,Knxwledge,Earl Sweatshirt,Rae Khalil",47,152,"undefined","Why Lawd?",2024-06-14,03:47,60,73,5,0,71,20,10,-11,,4,2025-08-22,36dXojpK4JbefZoCLRVVMF,,US2S72400018
147,"one of wun","Gunna",80,140,"undefined","One of Wun",2024-05-10,02:24,92,45,9,0,29,20,10,-5,,4,2025-08-22,4Na2HfNSr58chvfX69fy36,,USAT22403437
148,"Banded Up - feat. Tierra Whack","Chief Keef,Tierra Whack",40,155,"undefined","Almighty So 2",2024-05-10,04:26,65,69,0,0,19,0,30,-5,,4,2025-08-22,7tmgmrJYAGshsUHUNWPMlO,,QMRSZ2203237
149,"Good Good","USHER,Summer Walker,21 Savage",55,141,"undefined","COMING HOME",2024-02-09,04:07,74,68,4,0,57,10,10,-5,,4,2025-08-22,3jK1QRugwuAKAKOrtac7a2,,QZS7J2331813
150,"BLUE SKY","Kid Cudi",51,90,"undefined","INSANO",2024-01-12,03:41,66,60,57,1,40,0,0,-7,,4,2025-08-22,74uNMBwFmCG9OXHg5LX16K,,USUM72312226
151,"Fire in These Hills","Imagine Dragons",66,125,"undefined","LOOM",2024-06-28,03:39,66,52,15,0,27,0,10,-8,,4,2025-08-22,2Morv8EWzWFsfbqG8vdUfy,,USUM72404005
152,"Next Semester","Twenty One Pilots",68,175,"undefined","Clancy",2024-05-24,03:54,23,82,2,0,13,10,10,-5,,4,2025-08-22,1BANPzYIhCQkJ1ZFq2Fb0O,,USAT22402063
153,"WE PRAY","Coldplay,Little Simz,Burna Boy,Elyanna,TINI",69,136,"undefined","Moon Music",2024-10-04,03:53,75,52,7,0,67,0,0,-8,,4,2025-08-23,7xrEnNo99wrmIs8ZK3RZMK,,GBAYE2400890
