#,Música,Artista,Popularidade,BPM,Gêneros,Álbum,Data do Álbum,Duração,Duração_segundos,Dançabilidade,Energia,Acústica,Instrumentalidade,Valência,Fala,Ao Vivo,Volume (dB),Tom,Compasso,Adicionado em,Spotify ID,Camelot,ISRC,Gêneros_lista
182,Da Onde Eu Venho,"Filipe Ret,Mãolee",71,149,"hip hop brasileiro, trap brasileiro, trap funk, trap, boom bap, rap",NUME,2024-11-14,02:17,137,54,79,2,0,48,30,10,-6,E Minor,4,2025-08-23,5na9M4vuGBFxIAQdD3Hg9s,9A,BRRGE2401130,"['hip hop brasileiro', 'trap brasileiro', 'trap funk', 'trap', 'boom bap', 'rap']"
183,NÃO VAI ME AMAR,"Caio Luccas,NADAMAL,Veigh,Honaiser,Nagalli,Rocco,Bvga Beatz",51,128,"trap brasileiro, trap funk, trap, hip hop brasileiro, rap",Apocalipse,2024-09-17,03:37,217,75,51,12,0,25,0,10,-6,G#/A♭ Major,4,2025-08-23,33otVpGipU4qMbNC4IbIjl,4B,BKNDN2400058,"['trap brasileiro', 'trap funk', 'trap', 'hip hop brasileiro', 'rap']"
184,Ela É Fútil,"CJota,Mc Daniel,Veigh,Pedro Lotto",52,126,"trap brasileiro, trap funk, trap, funk, agronejo, funk consciente, hip hop brasileiro, rap",Traumas e Vícios,2024-10-17,02:55,175,68,64,22,0,67,0,30,-3,G#/A♭ Minor,4,2025-08-23,0g4B3MIEWu3nNdQI8FXRt6,1A,BKLY42400036,"['trap brasileiro', 'trap funk', 'trap', 'funk', 'agronejo', 'funk consciente', 'hip hop brasileiro', 'rap']"
185,Menino Fatal,"Tchelo,Kyan,retroboy,EAGD",46,150,"trap brasileiro, trap, trap funk, hip hop brasileiro, rap",É Que Eu Nasci Teimoso,2024-10-04,02:52,172,87,57,22,0,61,10,0,-6,C♯/D♭ Major,4,2025-08-23,7E0ZXZJ1X00PrVFEhWTqSc,3B,QZWV32496452,"['trap brasileiro', 'trap', 'trap funk', 'hip hop brasileiro', 'rap']"
186,fetiche,Baco Exu do Blues,53,130,"hip hop brasileiro, trap brasileiro, rap",FETICHE,2024-06-26,02:42,162,76,29,64,0,77,30,10,-15,B Minor,4,2025-08-23,6iWhbnoRFP66gO2dTe6Ro6,10A,BX2DO2400005,"['hip hop brasileiro', 'trap brasileiro', 'rap']"
187,Amor Traumatizado,Carol Biazin,58,135,"pop nacional, nova mpb","No Escuro,",2024-08-23,03:10,190,66,45,56,0,45,10,10,-8,B Minor,4,2025-08-23,5BcKtF6LS3lkrByxsuew70,10A,BRUM72400585,"['pop nacional', 'nova mpb']"
188,São Amores,Pabllo Vittar,55,96,"pop nacional, funk pop, tecnobrega",Batidão Tropical Vol. 2,2024-11-04,02:55,175,71,96,19,0,80,0,10,-4,C Major,4,2025-08-23,7cj3mQ5XeEQq8Zfa1O5CXB,8B,BCM112400022,"['pop nacional', 'funk pop', 'tecnobrega']"
189,Vou Querer De Novo - Ao Vivo,Thiaguinho,32,154,"pagode, samba",Sorte (Ao Vivo),2024-08-21,03:00,180,64,76,49,0,77,0,30,-8,D Major,4,2025-08-23,6yvnVg5A2mdwfNMgMDrS1C,10B,BRZ922400028,"['pagode', 'samba']"
190,Coração Partido (Corazón Partío) - Ao Vivo,Grupo Menos É Mais,79,160,"pagode, samba",Churrasquinho 3 (Ao Vivo),2024-11-14,03:15,195,65,76,64,0,79,0,20,-8,F#/G♭ Major,4,2025-08-23,6Kyl2nFgU0J8WBlbBvDv6g,2B,BRRGE2400589,"['pagode', 'samba']"
191,Memórias - Ao Vivo,"Grupo Menos É Mais,Luísa Sonza",61,164,"pagode, samba, pop nacional, funk pop, funk",Virado No Pagode (Ao Vivo),2024-04-04,03:00,180,59,71,30,0,49,0,30,-7,F#/G♭ Major,4,2025-08-23,3yxcCxwMAeFWelpMKHZQab,2B,BRRGE2400138,"['pagode', 'samba', 'pop nacional', 'funk pop', 'funk']"
192,Duvido - Ao Vivo,"Turma do Pagode,Ferrugem,Mumuzinho",60,150,"pagode, samba",Mixturadin 3 (Ao Vivo),2025-03-13,02:43,163,58,76,72,0,66,0,80,-5,C♯/D♭ Major,4,2025-08-23,14KMQgJYGx0WMwmSLRnlHd,3B,BXTUP2400003,"['pagode', 'samba']"
193,Apaguei Pra Todos - Ao Vivo,"Ferrugem,Sorriso Maroto",64,140,"pagode, samba",Apaguei Pra Todos (Ao Vivo),2024-04-17,03:18,198,62,73,52,0,50,0,80,-6,E Minor,4,2025-08-23,5lCErzo5pzcERgOL5hScRG,9A,BXG3O2400032,"['pagode', 'samba']"
194,Melação - Ao Vivo,"Zé Neto & Cristiano,Luan Santana",35,105,"sertanejo, sertanejo universitário, arrocha, agronejo","Intenso, Vol. 3 (Ao Vivo)",2024-08-29,02:57,177,70,79,56,0,59,0,80,-4,B Major,4,2025-08-23,2EqXPOTNCQv3awRRYUNl3J,1B,BRRGE2400498,"['sertanejo', 'sertanejo universitário', 'arrocha', 'agronejo']"
195,Xonei,"Jorge & Mateus,Henrique & Juliano",72,164,"sertanejo, sertanejo universitário, arrocha, agronejo",Xonei,2024-08-15,02:34,154,56,82,38,0,70,10,10,-4,A Major,4,2025-08-23,5sKGmZDmkGwFed5dPpZpZL,11B,BRRGE2400563,"['sertanejo', 'sertanejo universitário', 'arrocha', 'agronejo']"
196,Haverá Sinais - Ao Vivo,"Jorge & Mateus,Lauana Prado",68,110,"sertanejo, sertanejo universitário, arrocha, agronejo",Haverá Sinais (Ao Vivo),2024-02-14,03:11,191,75,80,13,0,72,0,10,-4,G#/A♭ Minor,4,2025-08-23,6X6jKoyw1OjogRghMEQAZV,1A,BRRGE2400071,"['sertanejo', 'sertanejo universitário', 'arrocha', 'agronejo']"
197,Dois Tristes - Ao Vivo,Simone Mendes,45,180,"sertanejo, sertanejo universitário, forró, piseiro, agronejo, arrocha",Cantando Sua História (Ao Vivo),2024-11-01,03:09,189,42,81,31,0,56,0,30,-3,D#/E♭ Major,4,2025-08-23,5Yw21ohYvrDOsPN69EUSgj,5B,BRUM72302190,"['sertanejo', 'sertanejo universitário', 'forró', 'piseiro', 'agronejo', 'arrocha']"
198,Vai Lá - Ao Vivo em Goiânia,Maiara & Maraisa,61,176,"sertanejo, sertanejo universitário, piseiro",iMEMsidão,2024-12-13,02:20,140,63,84,24,0,90,10,20,-4,F#/G♭ Minor,4,2025-08-23,6i8D3Na0oRaENYDZHnJolS,11A,BXWOW2400311,"['sertanejo', 'sertanejo universitário', 'piseiro']"
199,Só Fé,Grelo,67,138,"seresta, arrocha, piseiro, forró, brega, sertanejo",É o Grelo,2024-07-19,03:23,203,87,70,51,0,62,0,20,-9,G Minor,4,2025-08-23,0bPP5cDG1ZnbAVCEa3ZbQ1,6A,BC22M2400030,"['seresta', 'arrocha', 'piseiro', 'forró', 'brega', 'sertanejo']"
200,Tão Perto,LVCAS,36,105,rock brasileiro,Humanamente,2024-11-08,04:01,241,54,73,1,0,14,0,30,-5,C♯/D♭ Minor,4,2025-08-23,08HXzeHkMP2hPruTfaJXtP,12A,BXHM32400007,['rock brasileiro']
